"","contract","date","open","high","low","close","settlement","volume","open_interest"
"11","I1501.DCE",2014-01-16,851,857,847,853,852,294,266
"12","I1501.DCE",2014-01-17,847,847,842,846,845,120,354
"13","I1501.DCE",2014-01-20,843,843,834,834,838,328,550
"14","I1501.DCE",2014-01-21,833,834,817,820,820,6342,6446
"15","I1501.DCE",2014-01-22,820,829,815,824,823,1180,7422
"16","I1501.DCE",2014-01-23,828,847,828,847,833,1626,8618
"17","I1501.DCE",2014-01-24,842,850,842,849,846,196,8624
"18","I1501.DCE",2014-01-27,842,842,836,838,838,268,8752
"19","I1501.DCE",2014-01-28,836,839,831,832,834,308,8770
"20","I1501.DCE",2014-01-29,832,837,832,837,834,32,8766
"21","I1501.DCE",2014-01-30,838,842,836,840,839,64,8762
"22","I1501.DCE",2014-02-07,836,844,826,828,833,384,8918
"23","I1501.DCE",2014-02-10,823,833,821,832,826,312,8972
"24","I1501.DCE",2014-02-11,829,831,822,824,827,454,9326
"25","I1501.DCE",2014-02-12,825,828,821,827,823,1096,10044
"26","I1501.DCE",2014-02-13,828,830,824,829,828,324,10118
"27","I1501.DCE",2014-02-14,831,837,831,835,834,96,10110
"28","I1501.DCE",2014-02-17,830,848,830,848,840,562,10230
"29","I1501.DCE",2014-02-18,850,853,842,842,847,456,10232
"30","I1501.DCE",2014-02-19,842,847,840,847,844,230,10230
"31","I1501.DCE",2014-02-20,844,844,837,837,839,284,10340
"32","I1501.DCE",2014-02-21,838,839,834,836,836,524,10530
"33","I1501.DCE",2014-02-24,832,832,813,817,818,4056,13754
"34","I1501.DCE",2014-02-25,818,821,803,808,810,4514,16508
"35","I1501.DCE",2014-02-26,808,813,805,811,809,3064,19046
"36","I1501.DCE",2014-02-27,810,816,807,815,812,1298,19548
"37","I1501.DCE",2014-02-28,813,816,801,805,806,1146,20198
"38","I1501.DCE",2014-03-03,806,807,793,797,797,4798,23692
"39","I1501.DCE",2014-03-04,798,800,790,798,793,2644,24698
"40","I1501.DCE",2014-03-05,800,804,786,798,793,7114,27144
"41","I1501.DCE",2014-03-06,797,798,782,782,789,5100,29444
"42","I1501.DCE",2014-03-07,785,785,758,760,768,26354,44690
"43","I1501.DCE",2014-03-10,738,743,738,738,738,12526,49114
"44","I1501.DCE",2014-03-11,715,755,710,744,733,9946,49124
"45","I1501.DCE",2014-03-12,721,743,709,740,727,8642,49428
