,x1(100%),x2(-2.5%),x2(-5%)
0%,3035,2959,2883
-1%,3005,2929,2853
-2%,2974,2898,2823
-3%,2944,2868,2792
-4%,2914,2838,2762
-5%,2883,2807,2731
