,x1(100%),x2(-2.5%),x2(-5%)
0%,2857,2786,2714
-1%,2828,2757,2686
-2%,2800,2728,2657
-3%,2771,2700,2628
-4%,2743,2671,2600
-5%,2714,2643,2571
