"settlement_date_month","mean","sd","upper","lower"
1,0.1322062325426,0.0224264853177612,0.177059203178122,0.0873532619070775
2,0.135102041870571,0.0178911920647212,0.170884426000014,0.099319657741129
3,0.134398879966632,0.0217537686392124,0.177906417245057,0.0908913426882074
4,0.141971094450292,0.0231837219792765,0.188338538408845,0.095603650491739
5,0.132077373122892,0.0262846846684628,0.184646742459818,0.0795080037859666
6,0.12201503694505,0.0252424233138763,0.172499883572803,0.0715301903172978
7,0.129482652439287,0.0422741204317389,0.214030893302765,0.0449344115758095
8,0.163001236849985,0.0507282289934785,0.264457694836942,0.0615447788630284
9,0.177942011384967,0.0405237800499371,0.258989571484841,0.0968944512850928
10,0.190659559273605,0.0185626051751934,0.227784769623992,0.153534348923218
11,0.178122490964526,0.0368612169178536,0.251844924800233,0.104400057128819
12,0.145705058765133,0.0326350694764875,0.210975197718108,0.0804349198121577
