"settlement_date_month","mean","sd","upper","lower"
1,0.1291961008844,0.0238778567884966,0.176951814461394,0.0814403873074071
2,0.141580308073194,0.02457327703616,0.190726862145514,0.0924337540008745
3,0.128558362117812,0.030169732304737,0.188897826727286,0.068218897508338
4,0.143850542108774,0.0329285241286908,0.209707590366156,0.0779934938513925
5,0.119591378433002,0.0245901753899436,0.168771729212889,0.0704110276531149
6,0.123744988675956,0.0317730141095443,0.187291016895045,0.0601989604568674
7,0.133825729699284,0.0538863831467861,0.241598495992857,0.0260529634057123
8,0.177219555555586,0.0457136219561843,0.268646799467955,0.0857923116432179
9,0.176686708017259,0.0468009058078171,0.270288519632893,0.0830848964016251
10,0.201736780499717,0.0393499453316669,0.280436671163051,0.123036889836383
11,0.158336759432388,0.0426311566161989,0.243599072664786,0.0730744461999902
12,0.134054282143181,0.0320923299942564,0.198238942131694,0.069869622154668
