,x1(100%),x2(-2.5%),x2(-5%)
0%,2864,2792,2721
-1%,2835,2764,2692
-2%,2807,2735,2664
-3%,2778,2706,2635
-4%,2749,2678,2606
-5%,2721,2649,2578
